skill,freq
product management,25
soap ui,24
automation testing,24
asp.net,24
умение работать в команде,24
web аналитика,24
mobile,23
аналитический склад ума,23
go,23
grafana,23
mssql,23
администрирование,22
devtools,22
pytest,22
windows,22
xpath,21
swagger,21
cisco,21
точность и внимательность к деталям,21
check-list,21
управление персоналом,21
manual testing,21
gatling,21
умение работать в коллективе,21
oracle siebel crm,21
jira,21
автотесты,21
it,21
разработка инструкций,21
тест-дизайн,20
pytest,20
user acceptance testing,20
администрирование серверов windows,20
cypress,20
compatibility testing,20
qa automation,20
ci,20
adobe photoshop,20
технические средства информационной защиты,20
manual testing,20
gitlab,19
kotlin,19
teambuilding,19
mercurial,19
it,19
web application development,19
1с: предприятие 8,19
android studio,18
системная интеграция,18
autocad,18
quality assurance,18
тестирование по,18
angularjs,18
база данных: oracle,18
веб-программирование,18
business english,18
microsoft visual studio,18
erp systems,18
quality control,17
тест-дизайн,17
css3,17
коммуникабельность,17
powershell,17
администрирование серверов linux,17
web testing,17
manual,17
регрессионное тестирование,17
анализ данных,17
техническая поддержка,17
django framework,17
планирование,17
etl,17
bq,17
putty,17
многозадачность,16
тест-анализ,16
nosql,16
ведение переговоров,16
разработка нового продукта,16
webdriver,16
continuous integration,16
аудит безопасности,16
разработка тест-кейсов,16
logstash,16
testrail,15
оптимизация бизнес-процессов,15
software testing,15
мобильное тестирование,15
дбо,15
manual testing,15
react,15
docker,15
testing,15
bpmn,15
ajax,15
zabbix,15
тайм-менеджмент,15
kafka,15
devops,15
hp loadrunner,14
manual qa,14
1с: документооборот,14
1с-битрикс,14
наставничество,14
разработка проектной документации,14
test analysis,14
quality assurance,14
api testing,14
ruby on rails,14
ms outlook,14
аналитика,14
jquery,14
управление рисками,14
hardware,14
расстановка приоритетов,14
kibana,14
автоматизация технологических процессов,14
golang,13
php5,13
matlab,13
people management,13
тестирование сайтов,13
zephyr,13
ms word,13
телефонные переговоры,13
teamplayer,13
проектная документация,13
hyper-v,13
reportportal,13
chartio,13
"разработка тестов, опросников",12
ux,12
manual,12
управленческие навыки,12
ответственность,12
big data,12
swift,12
youtrack,12
phpmyadmin,12
управление разработкой,12
web,12
1с: управление торговлей,12
nginx,12
test design,12
visual studio c#,12
analytical skills,12
web testing,12
transact-sql,12
wpf,12
allure,12
xsd,12
веб - тестирование,12
eclipse,11
english,11
automation qa,11
внимательность,11
rabbitmq,11
деловая коммуникация,11
webdriver,11
robot framework,11
test automation,11
troubleshooting,11
pascal,11
owasp,11
smoke,11
turbo pascal,11
delphi,11
centos,11
web,11
jboss,11
анализ рынка,11
тренинги,11
automation testing,11
performance testing,11
тест api,11
организационные навыки,11
regression testing,11
дистанционное обучение,10
преподаватель,10
внутренний контроль,10
1с: зарплата и управление персоналом,10
mobile,10
деловая переписка,10
bdd,10
selenoid,10
ssl/tls,10
perl,10
кредитные карты,10
тестирование мобильных приложений,10
тест-кейсы,10
qt,10
confluence,10
тестировщик,10
automation,10
protractor,10
средства криптографической защиты информации,10
web,10
specflow,10
немецкий язык,10
cucumber,10
gamedev,10
аналитические способности,9
pentest,9
1с: бухгалтерия,9
mocha,9
настройка по,9
nexus,9
hp alm,9
testlink,9
test api,9
bdd automation tools,9
kafka,9
проектный менеджмент,9
mobile testing,9
java servlets,9
проведение презентаций,9
поиск информации в интернет,9
business development,9
qa engineer,9
networking,9
bpwin,9
hibernate orm,9
документооборот,9
системное тестирование,9
bitbucket,9
qlikview,9
winscp,8
настройка пк,8
разработка автоматических тестов,8
системное администрирование,8
java ee,8
sqlite,8
voip,8
gui,8
phpunit,8
публичные выступления,8
схемотехника электронного оборудования,8
selenuim,8
debian,8
авто-тесты,8
тестирование производительности,8
gitlab ci,8
qa automation,8
работа с людьми,8
jest,8
selenium web driver,8
внутренние коммуникации,8
loadtesting,8
деловое общение,8
microsoft access,8
работа с документами,8
приемочное тестирование,8
tester,8
электронный документооборот,8
sdlc,8
time management,8
tms systems,8
навыки презентации,8
пентест,7
espresso,7
1с: розница,7
техническое обслуживание,7
тестирование игр,7
gamedev,7
pentest,7
подбор персонала,7
dwh,7
цфт,7
внимательность,7
presentation skills,7
управленческое консультирование,7
windows xp,7
bugzilla,7
1с: управление производственным предприятием,7
websocket,7
клиентоориентированность,7
управление отношениями с клиентами,7
prometheus,7
typescript,7
py.test,7
aws,7
администрирование сайтов,7
статистический анализ,7
web-приложения,7
test plan,7
gamedev,7
тестирование web-тестирование,7
openstack,7
soa,6
документальное сопровождение,6
performance testing,6
sip,6
mf alm,6
remine,6
настройка сетевых подключений,6
gitlab,6
ui тестирование,6
dev tools,6
тестирование на проникновение,6
quality management,6
windows server,6
тест-анализ,6
1с,6
nunit,6
