skill,freq
xamarin.uitest,1
soap (rest),1
selenium/selenide,1
cucumbe,1
маркетинг услуг,1
геймдев,1
игровое по,1
trello,1
photoshop,1
тз,1
разработка мобильных прилоджений,1
rfc,1
iso 29119,1
qc/qa,1
andriod,1
ad,1
виртуализация,1
рефакторинг кода,1
borland c++,1
проведение опросов,1
.net core,1
grey box testing,1
ui\ux,1
blockchain,1
нт 3card-r,1
rhel,1
oel,1
java/python – заглушки,1
microsoft office frontpage,1
учет остатков,1
"c++,js, python, scratch (желательно)",1
user story,1
lead qa engineer,1
комплексное тестирование,1
тестирование по,1
документация,1
mobile app,1
wui,1
графические интерфейсы пользователя,1
спортивное питание,1
контроллинг,1
testrail,1
red team,1
insomnia,1
automation test experience,1
testng + selenium web driver + jenkins + allure,1
grinder,1
cd,1
google sheets,1
веб тестирование,1
coreldraw photo draw,1
b2b marketing,1
продажа страховых продуктов,1
ипотечное кредитование,1
розничное кредитование,1
разработка розничных продуктов,1
разработка продуктов ипотечного кредитования,1
тестирование доработок по,1
rabbit,1
citrix,1
бэклог,1
rdf n3,1
организация рабочих мест,1
solaris,1
power,1
risc,1
x86,1
wsus,1
реляционные бд,1
схд,1
automation qa,1
sales skills,1
dokcer,1
soapui /jmeter,1
технические системы и средства безопасности,1
php html sql linux тестирование пользовательского интерфейса git,1
анализ конкурентной среды,1
алгоритмы,1
internet marketing,1
язык программирования си,1
еспд,1
верификация по,1
таблицы трассируемости,1
составление тест-кейсов,1
игровой проект,1
load tests,1
web-сайты,1
корпоративная этика,1
abbyy fc,1
perfroce,1
daily builds,1
bugs,1
reports,1
тестирования оборудования и по,1
создания тестовых кейсов и формирования тестовых сценариев,1
система сборки,1
разработчик плис,1
postgres,1
английский — b2 — средне-продвинутый,1
учет тмц,1
закупка оргтехники и оборудования,1
безопасная разработка,1
понимание особенностей тестирования,1
bitbucket,1
local ip access networks,1
network tools,1
wireless,1
обеспечение качества,1
обработка видео,1
jsf,1
apache cxf,1
разработка системы тестирования,1
rest api,1
мотивация,1
api тестирование,1
regression analysis,1
api (rest),1
fiddler/charles,1
diasoft,1
нефункциональное тестирование,1
testng,1
aop,1
selenium webdriver\selenide,1
swarm,1
kuberneties,1
camunda,1
video processing,1
artificial intelligence,1
embedded systems,1
"модель osi, l2-коммутация, динамическая маршрутизация,",1
"cvs, svn, git",1
"скриптовыми языками программирования (python, bash etc)",1
язык программирования java,1
"eclipse ide, знание языка sql, субд",1
web services,1
конфигурационное тестирование,1
qt/qml,1
tensorflow,1
знания в компьтерных комплектующих,1
ui-автотест,1
внешний документооборот,1
внутренний документооборот,1
open text,1
тестирование web,1
rest/soap api,1
ibso,1
смоук-тест,1
тестирование приложений,1
планирование продаж,1
autoit,1
winappdriver,1
winium,1
teststack.white,1
client-server architecture,1
regressive testing,1
automated testing,1
web servicies,1
webservices,1
youtrack,1
jmeter,1
retail,1
https,1
паттерны проектирования,1
знания английского языка,1
опыт написания документации,1
firebug,1
pwa,1
e2e testing,1
codeceptjs,1
linux shell,1
diasoft 5 t,1
субд oracle/ms sql server,1
less,1
network,1
pycharm,1
requirements analysis,1
agile testing,1
tibco,1
отчеты по тестированию,1
методология тестирования,1
кредитные продукты,1
sit-тестирование,1
uat-тестирование,1
asil-d,1
misra,1
тестирование ios,1
тестирование android,1
ms test,1
qa lead,1
openapi,1
usb,1
без опыта работы,1
тестирование мобильный приложений,1
разработка тест-планов,1
batch,1
тестирование api приложений,1
itsm,1
itil,1
web application,1
опыт ведения рассылок,1
понимание воронок продаж и создание,1
analyst tests,1
backend development,1
netapp,1
vnx,1
3par,1
2g,1
3g,1
4g,1
bug management systems,1
тестирование uat,1
scala/java,1
работа с жалобами клиентов,1
sap sd,1
pos-терминалы,1
oss,1
bss,1
windows phone,1
spss,1
психология личности,1
социальная психология,1
оценка персонала,1
баг трекинг,1
selenium webdriver,1
архивирование,1
ведение архива,1
английский язык: upper-intermediate и выше,1
docker-compose,1
nigthwatch,1
тесты,1
test automation,1
php-censor,1
rest/json,1
white box testing,1
ui/ux testing,1
devkit,1
консоли,1
отчетность,1
пользовательские сценарии,1
youtrack redmine jira,1
ms paint,1
responsibility,1
техподдержка,1
кроссбраузерное тестирование,1
bpc smartvista front end,1
настройка и администрирование сетевого оборудования,1
передача данных,1
codeceptjs,1
rest assured,1
ci / cd,1
ui automator,1
smarttv,1
tizen,1
sikulix,1
olap (online analytical processing),1
power bi,1
google guice,1
laravel dusk,1
testrails,1
sql/nosql,1
unity profiler,1
ghidra,1
ida,1
aircrack-ng,1
"hashcat,",1
поиск уязвимостей,1
responder,1
chomp-scan,1
веб-безопасность,1
web-безопасность,1
hydra,1
авиабилеты,1
restful,1
подтверждающее тестирование,1
микроконтроллеры,1
penetration test,1
ddos,1
osstmm,1
xcuitest,1
cyber security,1
information security,1
pytest/jest/testng,1
selenium/appium/detox,1
symfony,1
tomcat,1
управление знаниями,1
opera,1
перфекционизм,1
chrome dev tools,1
api test,1
game programming,1
remote,1
rhev,1
xen,1
vcloud,1
amplitude,1
firebase,1
webdriverio,1
анализ рисков,1
suitability,1
regression,1
test,1
монтаж оборудования,1
ремонтные работы,1
ос семейства windows,1
websocket,1
jbehave,1
windows server 2012,1
ms exchange server,1
настройка почтовых серверов,1
microsoft azure,1
руководитель группы,1
.net,1
структурированные тексты,1
oracle crm,1
react js,1
vlc,1
selendroid,1
создание тест-кейсов,1
black/grey box testing,1
sqa methodologies,1
тестирование веб-приложений,1
продажи через интернет,1
обработка естественного языка,1
natural language processing,1
nlp,1
автоматизация тестиования,1
управление бухгалтерией,1
1c профессионал,1
1с специалист,1
управление лояльностью потребителей,1
обучение сотрудников,1
web service,1
vsts,1
pipelines,1
test designing,1
qa methodologies,1
анализ удобства использования продукта,1
capacity planning,1
атоматизация,1
websphere mq,1
zeromq,1
alm систем,1
protobuf,1
django,1
drupal,1
запуск новых продуктов,1
навыки подготовки объектов информатизации к аттестации и сертификации изделий по требованиям иб фстэ,1
навыки анализа массива данных,1
планирование и организация деятельности,1
системное/стратегическое мышление,1
cypress.io,1
написание чек-листов,1
testcomplete desktop,1
vbscript,1
windowsapi,1
xсode,1
junior qa,1
restapi,1
junior,1
mobile development,1
web development,1
project documentation,1
technical documentation,1
тестирование веб-приложений,1
автоматизация документооборота,1
http/https,1
ide,1
тестирования frontend & backend,1
мотивация персонала,1
sgl,1
ss7,1
diameter,1
iso/osi,1
gtp,1
game,1
владение пк,1
adb,1
monitoring troubleshooting,1
english from b1,1
jаvascript,1
маркетинговые исследования,1
прогнозирование,1
маркетинговый анализ,1
rest-api,1
end-2-end,1
url,1
smoke-тестирование,1
работа с клиентами,1
stm32,1
system verilog,1
xilinx vivado,1
ultrascale,1
контекстная реклама,1
testreil,1
oxygen xml editor,1
css selector,1
язык с,1
sql-запросы,1
веб-приложения,1
back-end,1
мобильный банк,1
интернет-банк,1
методы тестирования по,1
non-functional testing,1
microsoft windows server,1
mesos,1
asciidoc,1
банковское по,1
posgresql,1
руководство командой,1
backend testing,1
gradle,1
опп,1
step back (sb),1
web-приложения,1
ibm tivoli netcool,1
snmp,1
pega,1
core,1
boot,1
jms,1
tibcoems,1
oracleaq,1
activemq,1
std,1
jmitter,1
rest api,1
soapui/postman,1
websockets,1
рнр,1
мобильное приложение,1
digital marketing,1
маркетинговые коммуникации,1
информационные рассылки,1
windows vista,1
внимание к деталям,1
бизнес-планирование,1
планирование проекта,1
airtable,1
hubstaff,1
финансовые рынки,1
metatrader,1
forex trading,1
выявление багов,1
описание требований клиента,1
yandex.tank,1
autoqa,1
j2se,1
gwt,1
web services,1
xml/xslt,1
virtual machine,1
serenity,1
"владение типовыми инструментами для работы с информацией ms office (ms word, excel)",1
teams,1
битрикс 24,1
qt5,1
forex,1
разработка алгоритмов,1
ms dos,1
monitoring,1
developer tools,1
saas,1
web application testing,1
quality assuarance,1
firmware,1
системы сборки продукта,1
"cambium, ubiquiti, radwin",1
"модель osi, l2-коммутация, динамическая маршрутизация",1
"cisco, juniper, extreme",1
"осцилограф, анализатор спектра",1
"тестирование новых продуктов, версий программного обеспечения в цикле исследований и разработки",1
c# / .net,1
desktop applications,1
azure,1
ui-тесты,1
поддержка пользователей,1
общительность,1
криптопро,1
hml,1
google analytics,1
spiratest,1
oracle apex,1
k8,1
automated test frameworks,1
xray,1
разработка скриптов,1
разработка по для автоматизации,1
маршрутизаторы,1
кросс-браузерное тестирование,1
robot,1
client-server,1
поддержка тестовых сред,1
английский язык: intermediate и выше,1
microsoft windows active directory,1
автоматизированное и мануальное тестирование,1
studio,1
xamarin,1
uitest,1
.net projects,1
web testing skills,1
