skill,freq
оценка недвижимости,8
инвестиционный анализ,8
оптимизация затрат,8
reactjs,8
аналитик,8
erd,8
bss,8
поиск и привлечение клиентов,8
продуктовая аналитика,8
холодные продажи,8
системный аналитик,8
модульное тестирование,8
php5,8
unit testing,8
программы лояльности для клиентов,8
урегулирование конфликтов,8
asp.net,8
abap,8
test design,8
b2c marketing,8
apache maven,8
отчётность цб рф,8
cognos,8
e-mail marketing,8
исполнение личных поручений руководителя,8
работа с жалобами клиентов,8
машинное обучение,8
fiddler,8
лидогенерация,8
docsvision,8
atlassian,8
risk management,8
абс,8
автоматизация продаж,8
графические редакторы,8
ibm,8
гост-19,8
рд-50,8
s4hana,8
ida pro,8
customer orientation,8
визуализация,8
бисквит,8
joomla cms,7
статистическая отчетность,7
interviews,7
тендеры,7
оптимизация закупок,7
ssas,7
cpa,7
saas,7
сквозная аналитика,7
ga,7
jenkins,7
деловая этика,7
ux/ui,7
учет товаров,7
кредитные риски,7
валютные платежи,7
строительство,7
сквозная аналитика,7
python/r,7
регресcионное тестирование,7
retention,7
churn,7
договорная работа,7
product analytics,7
автоматизированное рабочее место (арм),7
веб-дизайн,7
pci dss,7
kibana,7
функциональные требования,7
анализ затрат,7
бенчмаркинг,7
эффективность промо,7
анализ кода,7
t-sql,7
dw,7
тезис,7
product development,7
пополнение товарных запасов,7
jira,7
visual studio c#,7
обязательная отчётность,7
планирование рабочего дня руководителя,7
организация деловых поездок,7
исполнение поручений руководителя,7
прием и распределение звонков,7
работа с людьми,7
государственные закупки,7
qlick,7
adobe dreamweaver,7
ctf,7
b2c маркетинг,7
scada,7
bss/oss,7
нпа,7
ms azure,7
atlassian confluence use,7
налоговое законодательство,7
администрирование серверов windows,7
анализ текущих финансовых показателей,7
terrasoft,7
прикладная лингвистика,7
nlu,7
greenplum,6
ms dos,6
idef3,6
макросы,6
веб-программирование,6
участие в тендерах,6
битрикс 24,6
техническое задание,6
ssrs,6
планирование рекламных кампаний,6
r-keeper,6
store house,6
redis,6
консультирование клиентов по телефону,6
hadoop,6
сбор требований,6
statistics,6
инвестиционное планирование,6
iso 9001:2008,6
бизнес-аналитик,6
обязательная отчетность,6
ms crm,6
нейронные сети,6
кредиторская задолженность,6
продуктовые метрики,6
windows,6
iso 9001,6
informatica power center,6
